Empreendimento;UF;Torre;Unidade;Status da Unidade;Valor Unidade/Lote;Andar;Tipologia
RESERVA DOS COLIBRIS;PB;BLOCO A;00205;Disponível;R$ 264.426,00;002;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00506;Disponível;R$ 268.474,00;005;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00703;Disponível;R$ 246.658,00;007;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00804;Disponível;R$ 272.522,00;008;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00508;Disponível;R$ 268.474,00;005;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01108;Disponível;R$ 276.568,00;011;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01408;Disponível;R$ 277.786,00;014;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01508;Disponível;R$ 286.180,00;015;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00401;Disponível;R$ 243.026,00;004;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00801;Disponível;R$ 247.868,00;008;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01201;Disponível;R$ 248.580,00;012;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01601;Disponível;R$ 270.156,00;016;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01303;Disponível;R$ 249.820,00;013;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01504;Disponível;R$ 286.180,00;015;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01704;Disponível;R$ 289.042,00;017;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00109;Disponível;R$ 263.078,00;001;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00610;Disponível;R$ 245.448,00;006;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01312;Disponível;R$ 249.820,00;013;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01009;Disponível;R$ 275.220,00;010;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01702;Disponível;R$ 271.500,00;017;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01709;Disponível;R$ 289.042,00;017;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00507;Disponível;R$ 268.474,00;005;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01307;Disponível;R$ 276.404,00;013;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00411;Disponível;R$ 243.026,00;004;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00911;Disponível;R$ 249.078,00;009;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01411;Disponível;R$ 267.468,00;014;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01507;Disponível;R$ 286.180,00;015;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01608;Disponível;R$ 287.610,00;016;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00311;Disponível;R$ 241.816,00;003;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00811;Disponível;R$ 247.868,00;008;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01311;Disponível;R$ 249.820,00;013;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01301;Disponível;R$ 249.820,00;013;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01701;Disponível;R$ 271.500,00;017;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00002;Disponível;R$ 238.186,00;000;2 DORM REV PNE S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00112;Disponível;R$ 239.396,00;001;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00104;Disponível;R$ 263.078,00;001;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00203;Disponível;R$ 240.606,00;002;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00305;Disponível;R$ 265.776,00;003;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00505;Disponível;R$ 268.474,00;005;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00704;Disponível;R$ 271.172,00;007;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00502;Disponível;R$ 244.236,00;005;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01104;Disponível;R$ 276.568,00;011;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01304;Disponível;R$ 276.404,00;013;2 DORM C/ VAR C/ VG MOT - MCMV FX2
